t,x,dxdt,method
0.0,0.0,dx/dt = sin(t) + t*cos(t),actual
0.5,0.23971,dx/dt = sin(t) + t*cos(t),actual
1.0,0.84147,dx/dt = sin(t) + t*cos(t),actual
1.5,1.49624,dx/dt = sin(t) + t*cos(t),actual
2.0,1.81859,dx/dt = sin(t) + t*cos(t),actual
2.5,1.49618,dx/dt = sin(t) + t*cos(t),actual
3.0,0.42336,dx/dt = sin(t) + t*cos(t),actual
3.5,-1.22774,dx/dt = sin(t) + t*cos(t),actual
4.0,-3.02721,dx/dt = sin(t) + t*cos(t),actual
4.5,-4.39889,dx/dt = sin(t) + t*cos(t),actual
5.0,-4.79462,dx/dt = sin(t) + t*cos(t),actual
5.5,-3.88047,dx/dt = sin(t) + t*cos(t),actual
6.0,-1.67649,dx/dt = sin(t) + t*cos(t),actual
6.5,1.39828,dx/dt = sin(t) + t*cos(t),actual
7.0,4.59891,dx/dt = sin(t) + t*cos(t),actual
7.5,7.03500,dx/dt = sin(t) + t*cos(t),actual
8.0,7.91487,dx/dt = sin(t) + t*cos(t),actual
8.5,6.78714,dx/dt = sin(t) + t*cos(t),actual
9.0,3.70907,dx/dt = sin(t) + t*cos(t),actual
9.5,-0.71394,dx/dt = sin(t) + t*cos(t),actual
10.0,-5.44021,dx/dt = sin(t) + t*cos(t),actual
0.0,1.00000,dx/dt = sin(t) + t*cos(t),eulerian
0.5,1.00000,dx/dt = sin(t) + t*cos(t),eulerian
1.0,1.45911,dx/dt = sin(t) + t*cos(t),eulerian
1.5,2.14999,dx/dt = sin(t) + t*cos(t),eulerian
2.0,2.70180,dx/dt = sin(t) + t*cos(t),eulerian
2.5,2.74030,dx/dt = sin(t) + t*cos(t),eulerian
3.0,2.03810,dx/dt = sin(t) + t*cos(t),eulerian
3.5,0.62367,dx/dt = sin(t) + t*cos(t),eulerian
4.0,-1.19052,dx/dt = sin(t) + t*cos(t),eulerian
4.5,-2.87620,dx/dt = sin(t) + t*cos(t),eulerian
5.0,-3.83926,dx/dt = sin(t) + t*cos(t),eulerian
5.5,-3.60957,dx/dt = sin(t) + t*cos(t),eulerian
6.0,-2.01349,dx/dt = sin(t) + t*cos(t),eulerian
6.5,0.72731,dx/dt = sin(t) + t*cos(t),eulerian
7.0,4.00878,dx/dt = sin(t) + t*cos(t),eulerian
7.5,6.97593,dx/dt = sin(t) + t*cos(t),eulerian
8.0,8.74481,dx/dt = sin(t) + t*cos(t),eulerian
8.5,8.65749,dx/dt = sin(t) + t*cos(t),eulerian
9.0,6.49818,dx/dt = sin(t) + t*cos(t),eulerian
9.5,2.60416,dx/dt = sin(t) + t*cos(t),eulerian
10.0,-2.16999,dx/dt = sin(t) + t*cos(t),eulerian
0.0,1.00000,dx/dt = sin(t) + t*cos(t),minpoint
0.5,1.24482,dx/dt = sin(t) + t*cos(t),minpoint
1.0,1.86002,dx/dt = sin(t) + t*cos(t),minpoint
1.5,2.53159,dx/dt = sin(t) + t*cos(t),minpoint
2.0,2.86762,dx/dt = sin(t) + t*cos(t),minpoint
2.5,2.54996,dx/dt = sin(t) + t*cos(t),minpoint
3.0,1.46987,dx/dt = sin(t) + t*cos(t),minpoint
3.5,-0.19969,dx/dt = sin(t) + t*cos(t),minpoint
4.0,-2.02402,dx/dt = sin(t) + t*cos(t),minpoint
4.5,-3.41945,dx/dt = sin(t) + t*cos(t),minpoint
5.0,-3.82979,dx/dt = sin(t) + t*cos(t),minpoint
5.5,-2.91503,dx/dt = sin(t) + t*cos(t),minpoint
6.0,-0.69324,dx/dt = sin(t) + t*cos(t),minpoint
6.5,2.41345,dx/dt = sin(t) + t*cos(t),minpoint
7.0,5.65237,dx/dt = sin(t) + t*cos(t),minpoint
7.5,8.12263,dx/dt = sin(t) + t*cos(t),minpoint
8.0,9.02213,dx/dt = sin(t) + t*cos(t),minpoint
8.5,7.89223,dx/dt = sin(t) + t*cos(t),minpoint
